ratio,run,total,ok,bad,terrible,unknown,ok_rate,bad_rate,terrible_rate,unknown_rate,bad_or_terrible,bad_or_terrible_rate
0.01,finance_em_r0.01_20260429_155358_eval,1440,1385,44,11,0,0.9618055555555556,0.030555555555555555,0.007638888888888889,0.0,55,0.03819444444444445
0.1,finance_em_r0.1_20260429_174911_eval,1440,1349,56,35,0,0.9368055555555556,0.03888888888888889,0.024305555555555556,0.0,91,0.06319444444444444
0.25,finance_em_r0.25_20260429_174535_eval,1440,1248,103,89,0,0.8666666666666667,0.07152777777777777,0.06180555555555556,0.0,192,0.13333333333333333
0.5,finance_em_r0.5_20260429_165353_eval,1440,1125,162,153,0,0.78125,0.1125,0.10625,0.0,315,0.21875
0.75,finance_em_r0.75_20260429_164912_eval,1440,970,226,244,0,0.6736111111111112,0.15694444444444444,0.16944444444444445,0.0,470,0.3263888888888889
0.99,finance_em_r0.99_20260429_184817_eval,1440,832,353,255,0,0.5777777777777777,0.24513888888888888,0.17708333333333334,0.0,608,0.4222222222222222
